resy_id,name,neighborhood,city
560,Tsurutontan Union Square,Union Square,ny
1403,Tabaré Williamsburg,Williamsburg,ny
67431,Room 1Hundred,Brooklyn,ny
59558,Momoya - Soho,SoHo,ny
66378,Mezzanine,New York,ny
8493,El Vez NY,Battery Park,ny
49,Sushi Seki Chelsea,Chelsea,ny
587,ATOBOY,NoMad,ny
65577,Chai NY,Hell's Kitchen,ny
60370,Café D'Alsace,Upper East Side,ny
8630,Two Hands Noho,Noho,ny
8550,The Up & Up,Greenwich Village,ny
55598,Canto West Village,New York,ny
53034,Nearly Ninth,Midtown,ny
58839,Motorino- Upper West Side,New York,ny
58125,Two Hands Nolita,Nolita,ny
5902,Analogue,West Village,ny
63523,Ostrica Wine & Oyster Bar,Kips Bay,ny
54340,Under the Bridge,Midtown,ny
26738,Boqueria UES,Upper East Side,ny
55202,Mezcali,New York,ny
55710,Bella Union,New York,ny
6076,Le Fanfare,Greenpoint,ny
59125,Jasper's Taphouse & Kitchen,New York,ny
50713,Wasan Brooklyn,Park Slope,ny
54355,Chola Restaurant,New York,ny
38782,The Sefton,Upper East Side,ny
7093,Meat,Crown Heights,ny
65716,Harvey's at Union Station,Kansas City,kc
27786,Ruffian,East Village,ny
5230,Cookshop,Chelsea,ny
2492,The Four Horsemen,Williamsburg,ny
65733,Vin Sur Vingt Bistro NYC,New York,ny
59219,Old John's Luncheonette,Upper West Side,ny
59230,Finestra,Upper East Side,ny
26736,Rothschild TLV,Upper East Side,ny
65683,Achilles,"New Dorp, Staten Island",ny
65676,CheLi - Manhattan,East Village,ny
5966,Perry Street by Jean-Georges & Cedric,West Villiage,ny
7192,Malibu Farm New York,The Seaport,ny
5932,The Fulton by Jean-Georges,The Seaport,ny
59156,La Marchande,Financial District,ny
64830,AYZA Wine & Chocolate Bar,Midtown,ny
37294,Achilles Heel,Greenpoint,ny
67405,BRADO NYCThinCrust Pizza,Brooklyn,ny
4295,Soba Totto,Midtown East,ny
37477,Putnam's Pub,Clinton Hill,ny
64154,KYU NYC,Noho,ny
67378,Outer Heaven,Lower East Side,ny
